Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
30-May-24,Thursday,May,Q2,2024,EQ,2871.00,2880.80,2840.20,2881.55,2859.10,2849.70,2853.56,3024.90,2220.30,6603429.00,248791.00
29-May-24,Wednesday,May,Q2,2024,EQ,2893.00,2916.00,2876.90,2912.40,2881.05,2881.55,2892.28,3024.90,2220.30,3691778.00,166778.00
28-May-24,Tuesday,May,Q2,2024,EQ,2936.00,2957.00,2905.50,2932.50,2911.00,2912.40,2930.70,3024.90,2220.30,3910081.00,177899.00
27-May-24,Monday,May,Q2,2024,EQ,2960.45,2969.80,2923.10,2960.50,2934.90,2932.50,2944.31,3024.90,2220.30,3314505.00,142936.00
24-May-24,Friday,May,Q2,2024,EQ,2967.25,2977.00,2952.20,2972.10,2959.00,2960.50,2962.79,3024.90,2220.30,3547388.00,142807.00
23-May-24,Thursday,May,Q2,2024,EQ,2917.10,2984.45,2910.00,2921.30,2969.00,2972.10,2956.98,3024.90,2220.30,7304130.00,254418.00
22-May-24,Wednesday,May,Q2,2024,EQ,2872.55,2937.55,2872.55,2872.25,2921.00,2921.30,2918.56,3024.90,2220.30,5140802.00,241909.00
21-May-24,Tuesday,May,Q2,2024,EQ,2851.20,2883.65,2851.20,2869.65,2867.95,2872.25,2867.19,3024.90,2220.30,5588064.00,303596.00
18-May-24,Saturday,May,Q2,2024,EQ,2875.00,2879.00,2865.40,2871.40,2869.50,2869.65,2871.38,3024.90,2220.30,213020.00,9456.00
17-May-24,Friday,May,Q2,2024,EQ,2846.10,2874.40,2826.50,2850.70,2870.10,2871.40,2859.68,3024.90,2220.30,5458238.00,200677.00
16-May-24,Thursday,May,Q2,2024,EQ,2837.10,2855.00,2796.05,2832.55,2851.00,2850.70,2830.30,3024.90,2220.30,7355887.00,359411.00
15-May-24,Wednesday,May,Q2,2024,EQ,2841.00,2859.95,2826.05,2840.15,2831.70,2832.55,2841.94,3024.90,2220.30,2523267.00,147326.00
14-May-24,Tuesday,May,Q2,2024,EQ,2801.95,2854.15,2800.05,2805.40,2839.00,2840.15,2834.55,3024.90,2220.30,3594150.00,248782.00
13-May-24,Monday,May,Q2,2024,EQ,2799.80,2813.95,2768.00,2814.85,2805.00,2805.40,2795.26,3024.90,2220.30,4228310.00,200542.00
10-May-24,Friday,May,Q2,2024,EQ,2793.50,2820.00,2776.15,2788.25,2808.00,2814.85,2800.80,3024.90,2220.30,5252548.00,238752.00
09-May-24,Thursday,May,Q2,2024,EQ,2826.00,2847.50,2780.00,2837.10,2785.00,2788.25,2800.69,3024.90,2220.30,5504806.00,280459.00
08-May-24,Wednesday,May,Q2,2024,EQ,2795.00,2865.90,2795.00,2802.95,2834.25,2837.10,2834.70,3024.90,2220.30,4719501.00,191054.00
07-May-24,Tuesday,May,Q2,2024,EQ,2831.95,2841.50,2784.00,2839.05,2808.00,2802.95,2804.43,3024.90,2220.30,7258736.00,308242.00
06-May-24,Monday,May,Q2,2024,EQ,2871.00,2880.00,2836.00,2868.00,2843.40,2839.05,2851.80,3024.90,2220.30,3697104.00,168077.00
03-May-24,Friday,May,Q2,2024,EQ,2942.00,2949.90,2832.30,2933.10,2871.00,2868.00,2876.27,3024.90,2220.30,8613479.00,358280.00
02-May-24,Thursday,May,Q2,2024,EQ,2944.00,2954.65,2928.25,2934.00,2938.10,2933.10,2941.23,3024.90,2220.30,7256323.00,306721.00
30-Apr-24,Tuesday,April,Q2,2024,EQ,2936.00,2966.15,2925.75,2930.05,2932.00,2934.00,2947.60,3024.90,2220.30,5737131.00,210901.00
29-Apr-24,Monday,April,Q2,2024,EQ,2900.00,2935.80,2900.00,2905.10,2927.50,2930.05,2926.58,3024.90,2220.30,3623987.00,158806.00
26-Apr-24,Friday,April,Q2,2024,EQ,2927.90,2930.00,2900.00,2919.95,2908.50,2905.10,2911.85,3024.90,2220.30,4706924.00,208164.00
25-Apr-24,Thursday,April,Q2,2024,EQ,2885.00,2935.95,2883.00,2900.35,2917.70,2919.95,2914.62,3024.90,2220.30,7971963.00,236911.00
24-Apr-24,Wednesday,April,Q2,2024,EQ,2927.00,2937.10,2899.00,2918.65,2901.45,2900.35,2917.88,3024.90,2220.30,5231388.00,186848.00
23-Apr-24,Tuesday,April,Q2,2024,EQ,2958.00,2987.00,2911.10,2959.70,2919.50,2918.65,2944.51,3024.90,2220.30,7302777.00,339439.00
22-Apr-24,Monday,April,Q2,2024,EQ,2944.90,2965.65,2935.60,2940.25,2962.90,2959.70,2950.88,3024.90,2220.30,5175181.00,163758.00
19-Apr-24,Friday,April,Q2,2024,EQ,2913.55,2948.00,2886.05,2928.65,2943.05,2940.25,2922.72,3024.90,2220.30,7870889.00,257506.00
18-Apr-24,Thursday,April,Q2,2024,EQ,2927.00,2972.00,2918.70,2931.50,2925.00,2928.65,2940.33,3024.90,2220.30,9502846.00,292105.00
16-Apr-24,Tuesday,April,Q2,2024,EQ,2906.70,2942.35,2901.85,2929.65,2936.50,2931.50,2922.76,3024.90,2220.30,4683092.00,202013.00
15-Apr-24,Monday,April,Q2,2024,EQ,2922.00,2964.25,2892.65,2934.30,2931.00,2929.65,2937.49,3024.90,2220.30,6451031.00,278625.00
12-Apr-24,Friday,April,Q2,2024,EQ,2951.75,2972.95,2926.15,2959.15,2937.15,2934.30,2950.89,3024.90,2220.30,7775506.00,318190.00
